time,PriceUSD,lower_cubiclog,upper_cubiclog
2013-11-03,210.275382611748,29.593325239328745,1197.425838788634
2013-11-04,228.79103886616,29.69690455219284,1200.4951035592499
2013-11-05,243.641668907072,29.800809965119512,1203.5699929569892
2013-11-06,263.209583987142,29.90504236746403,1206.6505137076083
2013-11-07,290.124226183518,30.009602650508675,1209.736672542372
2013-11-08,333.750656511981,30.114491707465636,1212.828476198068
2013-11-09,331.051148451198,30.219710433479506,1215.9259314170222
2013-11-10,327.558653499708,30.325259725630588,1219.029044947083
2013-11-11,342.697692869667,30.431140482937334,1222.137823541647
2013-11-12,354.645488310929,30.537353606359495,1225.2522739596443
2013-11-13,394.50449522443,30.643899998800855,1228.3724029655511
2013-11-14,416.706303302747,30.7507805651118,1231.4982173294131
2013-11-15,408.398797334892,30.857996212092857,1234.6297238268048
2013-11-16,435.798442767387,30.96554784849667,1237.7669292388907
2013-11-17,485.33657685564,31.0734363850316,1240.9098403523767
2013-11-18,657.778503874927,31.18166273436401,1244.0584639595556
2013-11-19,546.878397311514,31.290227811121614,1247.2128068582813
2013-11-20,595.339099649328,31.39913253189585,1250.3728758520026
2013-11-21,720.764425260082,31.50837781524518,1253.5386777497313
2013-11-22,802.916933718294,31.617964581697528,1256.7102193660867
2013-11-23,834.295339989129,31.727893753753378,1259.887507521271
2013-11-24,807.166695499708,31.83816625588855,1263.070549041094
2013-11-25,816.243386616014,31.948783014557282,1266.2593507569445
2013-11-26,916.097160140269,32.05974495819454,1269.4539195058433
2013-11-27,962.910560911748,32.171053017219464,1272.6542621304109
2013-11-28,1007.38716364699,32.28270812403795,1275.8603854788778
2013-11-29,1128.7254880187,32.394711213045326,1279.0722964051104
2013-11-30,1119.29671478667,32.50706322062979,1282.2900017685738
2013-12-01,964.485793687902,32.61976508517445,1285.5135084343929
2013-12-02,1040.80821770894,32.73281774706098,1288.7428232733034
2013-12-03,1053.62102744828,32.84622214867195,1291.9779531616825
2013-12-04,1134.93223088837,32.95997923439389,1295.218904981558
2013-12-05,1027.411772827,33.07408995062012,1298.4656856205959
2013-12-06,824.581710337814,33.188555245753676,1301.718301972122
2013-12-07,703.748376025716,33.30337607020998,1304.976760935104
2013-12-08,783.573348334307,33.41855337641998,1308.241069414182
2013-12-09,896.079289888954,33.53408811883278,1311.5112343196552
2013-12-10,977.165367329047,33.649981253918526,1314.7872625674986
2013-12-11,875.464034272355,33.76623374017142,1318.0691610793451
2013-12-12,873.324805987727,33.88284653811254,1321.3569367825187
2013-12-13,879.156135300994,33.99982061029253,1324.6505966100242
2013-12-14,852.856120526008,34.11715692129467,1327.950147500547
2013-12-15,864.0616578609,34.23485643773763,1331.25559639847
2013-12-16,677.894106801286,34.35292012827852,1334.566950253864
2013-12-17,682.62677270602,34.47134896361537,1337.8842160225026
2013-12-18,526.12097632671,34.59014391649045,1341.2074006658656
2013-12-19,685.525128959673,34.70930596169272,1344.5365111511437
2013-12-20,600.216954260666,34.82883607606115,1347.871554451231
2013-12-21,597.033502548217,34.94873523848722,1351.2125375447433
2013-12-22,615.013035271771,35.0690044299178,1354.55946741602
2013-12-23,657.926634155465,35.189644633358455,1357.9123510551176
2013-12-24,650.664745178258,35.3106568338756,1361.2711954578385
2013-12-25,678.290158094681,35.432042018599944,1364.636007625712
2013-12-26,749.996594956166,35.553801176729394,1368.006794565991
2013-12-27,722.570567492694,35.6759352995313,1371.3835632916948
2013-12-28,715.852363078901,35.798445380346074,1374.7663208215795
2013-12-29,727.271215663355,35.92133241458952,1378.155074180151
2013-12-30,735.741997077732,36.04459739975612,1381.5498303976635
2013-12-31,729.557582910579,36.168241335421456,1384.9505965101564
2014-01-01,752.404549944594,36.292265223245565,1388.3573795594068
2014-01-02,784.954921314436,36.4166700669754,1391.7701865929748
2014-01-03,807.222939029807,36.54145687244798,1395.189024664184
2014-01-04,828.602062618352,36.66662664759306,1398.6139008321509
2014-01-05,902.487380263004,36.79218040243627,1402.0448221617573
2014-01-06,914.459960841613,36.9181191491017,1405.4817957236748
2014-01-07,803.351796198714,37.044443901814915,1408.9248285943668
2014-01-08,820.690009503214,37.17115567690591,1412.373927856089
2014-01-09,831.334750487434,37.29825549281172,1415.8291005969038
2014-01-10,853.298854844603,37.42574437007967,1419.2903539106583
2014-01-11,889.555837119345,37.55362333136995,1422.7576948970143
2014-01-12,845.191332220924,37.681893401458474,1426.2311306614604
2014-01-13,822.877012197545,37.8105556072401,1429.7106683152736
2014-01-14,815.293602711864,37.93961097773113,1433.1963149755666
2014-01-15,841.089857364115,38.06906054407237,1436.6880777652668
2014-01-16,815.854800298071,38.198905339531954,1440.1859638131414
2014-01-17,792.829506475745,38.32914639950831,1443.6899802537694
2014-01-18,809.783528356386,38.45978476153281,1447.200134227586
2014-01-19,838.428474734073,38.59082146527297,1450.7164328808533
2014-01-20,828.885216592636,38.72225755253507,1454.2388833656778
2014-01-21,823.817963763881,38.85409406726702,1457.7674928400224
2014-01-22,818.976386323787,38.9863320555616,1461.3022684676941
2014-01-23,810.922425195792,39.118972565658865,1464.8432174183524
2014-01-24,781.042513950906,39.25201664794917,1468.3903468675358
2014-01-25,804.403240800701,39.38546535497643,1471.9436639966216
2014-01-26,814.499381373466,39.5193197414403,1475.503175992873
2014-01-27,742.701374970777,39.65358086419953,1479.0688900494267
2014-01-28,790.176401876096,39.78824978227488,1482.6408133652826
2014-01-29,793.38442490941,39.9233275568518,1486.2189531453269
2014-01-30,799.474479836353,40.05881525128325,1489.8033166003395
2014-01-31,803.237598784921,40.19471393109284,1493.3939109469727
2014-02-01,813.219549216833,40.331024663977395,1496.9907434077866
2014-02-02,814.490870426651,40.46774851981017,1500.5938212112276
2014-02-03,806.997428372531,40.604886570643394,1504.203151591648
2014-02-04,800.078231893629,40.74243989071135,1507.8187417893016
2014-02-05,784.473692777791,40.88040955643329,1511.440599050354
2014-02-06,763.569382232612,41.01879664641615,1515.0687306268758
2014-02-07,711.571273419053,41.157602241457454,1518.7031437768642
2014-02-08,677.682300941379,41.29682742454837,1522.3438457642324
2014-02-09,687.406054576271,41.43647328087629,1525.990843858821
2014-02-10,685.457498836938,41.57654089782804,1529.644145336387
2014-02-11,671.89969169024,41.71703136499253,1533.3037574786301
2014-02-12,653.765780911747,41.85794577416361,1536.9696875731863
2014-02-13,612.918414962011,41.99928521934316,1540.6419429136336
2014-02-14,668.788602659264,42.141050796743656,1544.320530799485
2014-02-15,654.377060198714,42.28324360479135,1548.0054585362072
2014-02-16,623.250321948568,42.4258647441291,1551.696733435211
2014-02-17,631.334596306254,42.568915317618774,1555.3943628138845
2014-02-18,627.271761415484,42.712396430345045,1559.098353995544
2014-02-19,623.54013694623,42.85630918961722,1562.8087143094995
2014-02-20,563.768561098773,43.00065470497303,1566.5254510910017
2014-02-21,580.324315973115,43.14543408818074,1570.2485716812992
2014-02-22,607.12463333723,43.29064845324279,1573.9780834275814
2014-02-23,610.082323746347,43.43629891639779,1577.7139936830497
2014-02-24,542.266650753945,43.58238659612414,1581.4563098068747
2014-02-25,533.707644436002,43.72891261314267,1585.2050391642015
2014-02-26,587.57858829924,43.87587809041931,1588.9601891261848
2014-02-27,585.393925650058,44.023284153168134,1592.7217670699592
2014-02-28,551.29477030976,44.17113192885431,1596.4897803786646
2014-03-01,567.534235441262,44.3194225471967,1600.2642364414405
2014-03-02,558.527707156633,44.46815714017113,1604.0451426534285
2014-03-03,676.505732781999,44.61733684201277,1607.8325064157814
2014-03-04,674.51139943308,44.766962789219534,1611.6263351356672
2014-03-05,670.338851099514,44.917036120554485,1615.426636226259
2014-03-06,667.712834003507,45.06755797704892,1619.2334171067664
2014-03-07,631.770295213326,45.218529502005325,1623.046685202413
2014-03-08,621.524114496201,45.36995184100011,1626.866447944445
2014-03-09,640.578889322034,45.521826141886365,1630.6927127701517
2014-03-10,628.151241165985,45.674153554797044,1634.5254871228503
2014-03-11,633.73383823495,45.82693523214749,1638.364778451893
2014-03-12,634.646823717125,45.980172328638645,1642.2105942126782
2014-03-13,643.432100859147,46.13386600125947,1646.0629418666579
2014-03-14,628.308590005845,46.28801740929036,1649.9218288813092
2014-03-15,636.218650061368,46.442627714305566,1653.7872627301954
2014-03-16,634.168900970894,46.5976980801761,1657.6592508929111
2014-03-17,622.760208649912,46.75322967307296,1661.5378008551163
2014-03-18,614.309513717125,46.90922366146952,1665.4229201085461
2014-03-19,610.511203474576,47.065681216144824,1669.3146161509828
2014-03-20,586.607595710111,47.22260351018596,1673.2128964863002
2014-03-21,569.694517995324,47.37999171899156,1677.1177686244246
2014-03-22,564.700026703682,47.53784702027377,1681.0292400813896
2014-03-23,558.958861691408,47.69617059406222,1684.9473183792818
2014-03-24,585.023250518995,47.85496362270587,1688.8720110462855
2014-03-25,583.771189094097,48.01422729087649,1692.8033256166739
2014-03-26,579.243850400994,48.17396278557119,1696.741269630814
2014-03-27,483.164012612507,48.334171296115564,1700.6858506351603
2014-03-28,498.661328949153,48.49485401416624,1704.6370761822739
2014-03-29,489.517023547633,48.65601213371405,1708.594953830811
2014-03-30,458.966328275862,48.81764685108641,1712.5594911455487
2014-03-31,455.355354056108,48.97975936495084,1716.5306956973463
2014-04-01,479.008465867913,49.14235087631718,1720.508575063204
2014-04-02,439.011492524839,49.305422588540786,1724.4931368262287
2014-04-03,449.441151519579,49.46897570732542,1728.48438857564
2014-04-04,449.719869736996,49.63301144072579,1732.4823379067886
2014-04-05,461.675331482174,49.79753099915082,1736.4869924211428
2014-04-06,458.633480544535,49.96253559536608,1740.498359726311
2014-04-07,448.655275066394,50.12802644449686,1744.5164474360345
2014-04-08,452.803098796026,50.29400476403114,1748.5412631701834
2014-04-09,442.837984932203,50.46047177382197,1752.5728145547746
2014-04-10,366.911866063413,50.62742869609093,1756.6111092219653
2014-04-11,421.943528071303,50.79487675543052,1760.656154810053
2014-04-12,424.274212647575,50.962817178807256,1764.7079589634907
2014-04-13,416.362321654004,51.1312511955641,1768.7665293328996
2014-04-14,461.108246586649,51.30018003742398,1772.8318735750283
2014-04-15,521.615299606078,51.46960493849191,1776.9039993528095
2014-04-16,531.481846731999,51.63952713525843,1780.982914335332
2014-04-17,499.837551544721,51.80994786660211,1785.0686261978406
2014-04-18,483.020013533606,51.98086837379239,1789.1611426217585
2014-04-19,504.365595178488,52.15228990049246,1793.2604712946872
2014-04-20,501.55718444916,52.32421369276232,1797.3666199103966
2014-04-21,498.084530300994,52.496640999061114,1801.4795961688355
2014-04-22,489.503510029223,52.66957307025049,1805.5994077761438
2014-04-23,490.63296754332,52.84301115959704,1809.7260624446355
2014-04-24,503.291801028638,53.01695652277537,1813.859567892817
2014-04-25,466.426171344243,53.19141041787088,1817.999931845393
2014-04-26,459.22670981882,53.36637410538253,1822.1471620332557
2014-04-27,438.709363717287,53.54184884822556,1826.3012661935015
2014-04-28,441.547805468089,53.71783591173461,1830.462252069429
2014-04-29,447.709930772047,53.894336563666265,1834.6301274105306
2014-04-30,448.875715514009,54.07135207420221,1838.8048999725142
2014-05-01,460.194698255991,54.24888371595154,1842.9865775173062
2014-05-02,452.239779761701,54.42693276395393,1847.1751678130377
2014-05-03,438.978588005844,54.60550049568252,1851.3706786340508
2014-05-04,436.675398644705,54.78458819104663,1855.5731177609232
2014-05-05,432.338179035394,54.96419713239432,1859.7824929804515
2014-05-06,430.128205394506,55.14432860451578,1863.9988120856408
2014-05-07,442.18287609585,55.32498389464555,1868.2220828757474
2014-05-08,440.402762711864,55.50616429246563,1872.4523131562557
2014-05-09,452.697999723553,55.68787109010823,1876.689510738876
2014-05-10,456.75584628872,55.87010558215869,1880.933683441561
2014-05-11,439.114476037405,56.052869065658,1885.1848390885098
2014-05-12,441.280955581531,56.23616284010615,1889.4429855101612
2014-05-13,439.005774985389,56.41998820746422,1893.7081305431986
2014-05-14,444.848205727645,56.604346472157786,1897.9802820305538
2014-05-15,446.96155873758,56.78923894107918,1902.259447821431
2014-05-16,448.74215371128,56.97466692359105,1906.5456357712633
2014-05-17,449.2222893045,57.16063173152831,1910.8388537417527
2014-05-18,446.962641437756,57.347134679201474,1915.139109600876
2014-05-19,447.404856808884,57.53417708339933,1919.4464112228557
2014-05-20,490.335648158971,57.721760263391715,1923.7607664881916
2014-05-21,493.933491817651,57.90988554093222,1928.082183283649
2014-05-22,526.81428842782,58.09855424026122,1932.4106695022679
2014-05-23,523.699320280538,58.28776768810839,1936.7462330433743
2014-05-24,527.691243132671,58.47752721369561,1941.0888818125545
2014-05-25,573.312458796026,58.66783414873985,1945.4386237216806
2014-05-26,584.847974868498,58.858689827455834,1949.7954666889273
2014-05-27,573.928269245471,59.0500955865587,1954.1594186387417
2014-05-28,579.189318819404,59.242052765267076,1958.5304875018578
2014-05-29,570.349310929281,59.43456270530591,1962.9086812153046
2014-05-30,620.846360607832,59.627626750908675,1967.2940077224116
2014-05-31,627.892420689655,59.82124624882085,1971.6864749727918
2014-06-01,630.074953535944,60.015422548302055,1976.0860909223968
2014-06-02,663.505723845704,60.2101570011295,1980.492863533428
2014-06-03,672.387897136178,60.40545096160006,1984.9068007744395
2014-06-04,643.887368790181,60.601305786533636,1989.327910620265
2014-06-05,661.503558153127,60.79772283527569,1993.7562010520555
2014-06-06,650.133315897136,60.99470346969969,1998.1916800572967
