"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Joe Biden","Nikki Haley","Gavin Newsom","Robert F. Kennedy Jr.","Ron DeSantis","Vivek Ramaswamy","Chris Christie","Elizabeth Warren","Bernie Sanders","AOC","Other Democrat Politician","Other Republican Politician","Kanye","Michelle Obama","Hillary Clinton"
"08-07-2024 04:00","1723003201","0.515","0.4625","0.0005","0.0015","0.0005","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0025","0.004","0.0005","0.0155","0.0025"
"08-07-2024 05:00","1723006801","0.515","0.462","0.0005","0.0015","0.0005","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0025","0.004","0.0005","0.0155","0.0025"
"08-07-2024 06:00","1723010401","0.515","0.4615","0.0005","0.0015","0.0005","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0025","0.004","0.0005","0.0135","0.0025"
"08-07-2024 07:00","1723014001","0.515","0.463","0.0005","0.0015","0.0005","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0025","0.004","0.0005","0.0145","0.0025"
"08-07-2024 08:00","1723017601","0.515","0.464","0.0005","0.0015","0.001","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0035","0.0005","0.0135","0.0025"
"08-07-2024 09:00","1723021201","0.515","0.4835","0.0005","0.0015","0.0005","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.004","0.0005","0.014","0.0025"
"08-07-2024 10:00","1723024802","0.515","0.464","0.0005","0.002","0.0005","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.004","0.0005","0.0125","0.0025"
"08-07-2024 11:00","1723028401","0.515","0.4655","0.0005","0.0015","0.0005","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.004","0.0005","0.0125","0.0025"
"08-07-2024 12:00","1723032001","0.515","0.4655","0.0005","0.0015","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0035","0.0005","0.0125","0.0025"
"08-07-2024 13:00","1723035601","0.515","0.4655","0.0005","0.0015","0.0005","0.0055","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0035","0.0045","0.0005","0.012","0.0025"
