time,cycle
2009-01-03,0.0
2009-01-04,0.004330231337818815
2009-01-05,0.00866038147950732
2009-01-06,0.012990369230457708
2009-01-07,0.01732011339910717
2009-01-08,0.02164953279846029
2009-01-09,0.02597854624761142
2009-01-10,0.030307072573266862
2009-01-11,0.03463503061126697
2009-01-12,0.038962339208108064
2009-01-13,0.04328891722246412
2009-01-14,0.04761468352670827
2009-01-15,0.051939557008434
2009-01-16,0.056263456571976116
2009-01-17,0.06058630113993135
2009-01-18,0.06490800965467865
2009-01-19,0.0692285010798991
2009-01-20,0.07354769440209538
2009-01-21,0.07786550863211092
2009-01-22,0.0821818628066485
2009-01-23,0.08649667598978839
2009-01-24,0.09080986727450593
2009-01-25,0.09512135578418873
2009-01-26,0.09943106067415305
2009-01-27,0.10373890113315987
2009-01-28,0.10804479638493003
2009-01-29,0.11234866568965894
2009-01-30,0.11665042834553058
2009-01-31,0.12095000369023061
2009-02-01,0.125247311102459
2009-02-02,0.12954227000344168
2009-02-03,0.13383479985844152
2009-02-04,0.13812482017826835
2009-02-05,0.14241225052078832
2009-02-06,0.14669701049243222
2009-02-07,0.15097901974970293
2009-02-08,0.15525819800068194
2009-02-09,0.15953446500653495
2009-02-10,0.16380774058301636
2009-02-11,0.16807794460197284
2009-02-12,0.1723449969928458
2009-02-13,0.17660881774417286
2009-02-14,0.18086932690508803
2009-02-15,0.1851264445868209
2009-02-16,0.18938009096419472
2009-02-17,0.19363018627712308
2009-02-18,0.19787665083210562
2009-02-19,0.20211940500372225
2009-02-20,0.2063583692361262
2009-02-21,0.21059346404453586
2009-02-22,0.2148246100167252
2009-02-23,0.21905172781451274
2009-02-24,0.22327473817524923
2009-02-25,0.227493561913304
2009-02-26,0.23170811992154966
2009-02-27,0.2359183331728455
2009-02-28,0.24012412272151934
2009-03-01,0.24432540970484776
2009-03-02,0.2485221153445349
2009-03-03,0.25271416094818966
2009-03-04,0.25690146791080126
2009-03-05,0.2610839577162132
2009-03-06,0.26526155193859513
2009-03-07,0.26943417224391414
2009-03-08,0.273601740391403
2009-03-09,0.27776417823502747
2009-03-10,0.28192140772495156
2009-03-11,0.28607335090900116
2009-03-12,0.29021992993412554
2009-03-13,0.29436106704785736
2009-03-14,0.2984966845997704
2009-03-15,0.3026267050429359
2009-03-16,0.3067510509353761
2009-03-17,0.31086964494151703
2009-03-18,0.3149824098336382
2009-03-19,0.31908926849332053
2009-03-20,0.3231901439128931
2009-03-21,0.3272849591968762
2009-03-22,0.33137363756342414
2009-03-23,0.3354561023457641
2009-03-24,0.3395322769936344
2009-03-25,0.3436020850747196
2009-03-26,0.3476654502760834
2009-03-27,0.35172229640560027
2009-03-28,0.3557725473933835
2009-03-29,0.35981612729321194
2009-03-30,0.36385296028395386
2009-03-31,0.3678829706709889
2009-04-01,0.37190608288762717
2009-04-02,0.3759222214965262
2009-04-03,0.3799313111911059
2009-04-04,0.38393327679696004
2009-04-05,0.38792804327326624
2009-04-06,0.3919155357141929
2009-04-07,0.3958956793503038
2009-04-08,0.39986839954996
2009-04-09,0.4038336218207196
2009-04-10,0.407791271810734
2009-04-11,0.4117412753101426
2009-04-12,0.41568355825246395
2009-04-13,0.41961804671598485
2009-04-14,0.42354466692514603
2009-04-15,0.42746334525192603
2009-04-16,0.43137400821722155
2009-04-17,0.4352765824922251
2009-04-18,0.4391709948998003
2009-04-19,0.4430571724158539
2009-04-20,0.4469350421707048
2009-04-21,0.45080453145045085
2009-04-22,0.45466556769833216
2009-04-23,0.4585180785160914
2009-04-24,0.46236199166533165
2009-04-25,0.4661972350688708
2009-04-26,0.47002373681209286
2009-04-27,0.4738414251442969
2009-04-28,0.47765022848004196
2009-04-29,0.4814500754004898
2009-04-30,0.4852408946547437
2009-05-01,0.4890226151611845
2009-05-02,0.49279516600880396
2009-05-03,0.4965584764585336
2009-05-04,0.5003124759445721
2009-05-05,0.5040570940757073
2009-05-06,0.5077922606366371
2009-05-07,0.5115179055892858
2009-05-08,0.515233959074117
2009-05-09,0.518940351411444
2009-05-10,0.5226370131027364
2009-05-11,0.5263238748319226
2009-05-12,0.5300008674666904
2009-05-13,0.5336679220597826
2009-05-14,0.5373249698502905
2009-05-15,0.5409719422649425
2009-05-16,0.5446087709193905
2009-05-17,0.5482353876194919
2009-05-18,0.5518517243625883
2009-05-19,0.5554577133387808
2009-05-20,0.5590532869322014
2009-05-21,0.5626383777222806
2009-05-22,0.5662129184850122
2009-05-23,0.5697768421942133
2009-05-24,0.5733300820227814
2009-05-25,0.576872571343947
2009-05-26,0.5804042437325236
2009-05-27,0.583925032966153
2009-05-28,0.5874348730265466
2009-05-29,0.5909336981007239
2009-05-30,0.5944214425822463
2009-05-31,0.597898041072447
2009-06-01,0.6013634283816581
2009-06-02,0.604817539530432
2009-06-03,0.6082603097507605
2009-06-04,0.6116916744872891
2009-06-05,0.6151115693985273
2009-06-06,0.6185199303580552
2009-06-07,0.621916693455726
2009-06-08,0.6253017949988642
2009-06-09,0.6286751715134602
2009-06-10,0.63203675974536
2009-06-11,0.6353864966614521
2009-06-12,0.6387243194508483
2009-06-13,0.6420501655260626
2009-06-14,0.645363972524184
2009-06-15,0.648665678308046
2009-06-16,0.6519552209673922
2009-06-17,0.6552325388200366
2009-06-18,0.6584975704130208
2009-06-19,0.6617502545237653
2009-06-20,0.6649905301612187
2009-06-21,0.6682183365670006
2009-06-22,0.6714336132165409
2009-06-23,0.6746362998202152
2009-06-24,0.6778263363244746
2009-06-25,0.6810036629129723
2009-06-26,0.684168220007685
2009-06-27,0.6873199482700297
